club_id,club,division,venue,asset,bytes,sha256,source_pack
amber-step,Amber Step,Velmora League Two,Waystation Park,assets/quidditch-engine/arenas/clubs/amber-step.webp,318306,03984173e545bb35fa76e5db2e4ead6ecc0e15c4ff64f9cca9f10674c0013d26,Velmora_League_Two_Stadiums_18_Map_Set(1)
ashwick,Ashwick,Repo Sports League,Old Ember,assets/quidditch-engine/arenas/clubs/ashwick.webp,355744,3278f7609cf90ba26066070bf4e750f4da1a7d58c2e0299a01c6bf411e87d334,Repo_Sports_League_18_Stadiums_First_Pass_v1
aurelia,Aurelia,Repo Sports League,The Aureate,assets/quidditch-engine/arenas/clubs/aurelia.webp,447930,07655027f948483a1e37087a32401ecf89b8822a00932d1f815e71d16f373ba7,Repo_Sports_League_18_Stadiums_First_Pass_v1
bellacosta,Bellacosta,Velmora Championship,Marina Bell,assets/quidditch-engine/arenas/clubs/bellacosta.webp,325720,9377436829a9e6cab4f5ff8e05eba47a3e00f61896353f291f46a24d83dcdd9b,Velmora_Championship_Stadiums_18_Map_Set(1)
bellavue,Bellavue,Velmora League Two,Balcony Field,assets/quidditch-engine/arenas/clubs/bellavue.webp,402712,b5116fd83bfbe97be4961b481bf769bec5dc230f4f54371a409fea134f3cb807,Velmora_League_Two_Stadiums_18_Map_Set(1)
bellgrave,Bellgrave,Velmora Championship,Old Bell Ground,assets/quidditch-engine/arenas/clubs/bellgrave.webp,305240,d3188bc85a6f4362fd5204f1a59cd9135d6b90e4d79b570d3332e2c9abd886c7,Velmora_Championship_Stadiums_18_Map_Set(1)
blackglass,Blackglass,Repo Sports League,Blackglass Crown Arena,assets/quidditch-engine/arenas/clubs/blackglass.webp,380458,4540cdaf42a7a8ba193d67b5914518a57485073c1415589f1d5f47cc2a92d981,Repo_Sports_League_18_Stadiums_First_Pass_v1
braska-forge,Braska Forge,Velmora League Two,Hammer Yard,assets/quidditch-engine/arenas/clubs/braska-forge.webp,372644,ff55e883055a90a41145ff9836ed978bd38bf97385b806632d48243586723433,Velmora_League_Two_Stadiums_18_Map_Set(1)
caldria-1-alto-vescari,Alto Vescari,Caldrian Prima Corona,Alto Vescari Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-alto-vescari.webp,389088,33344c8a6e4b113ae03a098b3283525de61a64d6331595b3002ea1fd36ca78ac,caldria-stadiums
caldria-1-arco-nerano,Arco Nerano,Caldrian Prima Corona,Arco Nerano Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-arco-nerano.webp,374132,d68b75dca0c3975c4c83c78c6e0dbe18cc8970674cc333196da0aa0fc0a5e376,caldria-stadiums
caldria-1-bellacorte,Bellacorte,Caldrian Prima Corona,Bellacorte Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-bellacorte.webp,381752,dd98e186d35fcbe9e36d25d229808d901683508cf551fec4f55a5586a1e9a764,caldria-stadiums
caldria-1-castellaro,Castellaro,Caldrian Prima Corona,Castellaro Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-castellaro.webp,367216,3fe0a813681308a1478533076de17ec9de0b4f158c0991b87915affdc6e17712,caldria-stadiums
caldria-1-citta-ordelia,Citta Ordelia,Caldrian Prima Corona,Citta Ordelia Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-citta-ordelia.webp,362628,92408d3030fcd05365f098cad2bc863ab485be3ce0e9ae9ac5a35c74665fe0c1,caldria-stadiums
caldria-1-ferrovia-carmina,Ferrovia Carmina,Caldrian Prima Corona,Ferrovia Carmina Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-ferrovia-carmina.webp,390288,9d7c0ebbb102a4ffb7f5f03c77aa36adccbda7f08866cce4dd8fb20fc0c81275,caldria-stadiums
caldria-1-lupo-doro,Lupo d'Oro,Caldrian Prima Corona,Lupo d'Oro Corona Arena,assets/quidditch-engine/arenas/clubs/caldria-1-lupo-doro.webp,438462,b0df5665c5f7d21ea2c8cd8ced02734b1e342a84b27c85d47d22e7332e95d4db,caldria-stadiums
