world,tier,league,position,row,column,club,nation,file
Kharova,1,Kharovan Guild League,1,1,1,Kesselbruck,Eisenmark,kharova/tier-01-kharovan-guild-league/01_kesselbruck.png
Kharova,1,Kharovan Guild League,2,1,2,Eisenwald,Eisenmark,kharova/tier-01-kharovan-guild-league/02_eisenwald.png
Kharova,1,Kharovan Guild League,3,1,3,Rotenheim,Brunnwald,kharova/tier-01-kharovan-guild-league/03_rotenheim.png
Kharova,1,Kharovan Guild League,4,1,4,Dornhafen,Dornland,kharova/tier-01-kharovan-guild-league/04_dornhafen.png
Kharova,1,Kharovan Guild League,5,1,5,Brunnstadt,Brunnwald,kharova/tier-01-kharovan-guild-league/05_brunnstadt.png
Kharova,1,Kharovan Guild League,6,1,6,Wolfsbruck,Austerholm,kharova/tier-01-kharovan-guild-league/06_wolfsbruck.png
Kharova,1,Kharovan Guild League,7,2,1,Austergrad,Austerholm,kharova/tier-01-kharovan-guild-league/07_austergrad.png
Kharova,1,Kharovan Guild League,8,2,2,Kronwald,Veysburg,kharova/tier-01-kharovan-guild-league/08_kronwald.png
Kharova,1,Kharovan Guild League,9,2,3,Veysburg Union,Veysburg,kharova/tier-01-kharovan-guild-league/09_veysburg-union.png
Kharova,1,Kharovan Guild League,10,2,4,Halden Forge,Halden,kharova/tier-01-kharovan-guild-league/10_halden-forge.png
Kharova,1,Kharovan Guild League,11,2,5,Rimebruck,Rimeval,kharova/tier-01-kharovan-guild-league/11_rimebruck.png
Kharova,1,Kharovan Guild League,12,2,6,Kesthafen,Kestria,kharova/tier-01-kharovan-guild-league/12_kesthafen.png
Kharova,1,Kharovan Guild League,13,3,1,Hochwald,Dornland,kharova/tier-01-kharovan-guild-league/13_hochwald.png
Kharova,1,Kharovan Guild League,14,3,2,Greifenau,Kestria,kharova/tier-01-kharovan-guild-league/14_greifenau.png
Kharova,1,Kharovan Guild League,15,3,3,Stahlmere,Eisenmark,kharova/tier-01-kharovan-guild-league/15_stahlmere.png
Kharova,1,Kharovan Guild League,16,3,4,Falkenbruck,Halden,kharova/tier-01-kharovan-guild-league/16_falkenbruck.png
Kharova,1,Kharovan Guild League,17,3,5,Nordhavn 04,Rimeval,kharova/tier-01-kharovan-guild-league/17_nordhavn-04.png
Kharova,1,Kharovan Guild League,18,3,6,Blaukirch,Veysburg,kharova/tier-01-kharovan-guild-league/18_blaukirch.png
Kharova,2,Kharovan Iron Division,1,1,1,Lindental,Brunnwald,kharova/tier-02-kharovan-iron-division/01_lindental.png
Kharova,2,Kharovan Iron Division,2,1,2,Oberkest,Kestria,kharova/tier-02-kharovan-iron-division/02_oberkest.png
Kharova,2,Kharovan Iron Division,3,1,3,Altenbruck,Eisenmark,kharova/tier-02-kharovan-iron-division/03_altenbruck.png
Kharova,2,Kharovan Iron Division,4,1,4,Weisshafen,Rimeval,kharova/tier-02-kharovan-iron-division/04_weisshafen.png
Kharova,2,Kharovan Iron Division,5,1,5,Grunwald,Dornland,kharova/tier-02-kharovan-iron-division/05_grunwald.png
